_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
4260,1979996,17002775,25,M,B,2017-01-05T12:58:00,"2200 Block Carey WY Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication,"2200 Block Carey WY Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.97464449,40.42788667
2423,1977567,16109805,31,F,B,2016-11-09T11:20:00,"900 Block 2ND AV Pittsburgh, PA 15219",2701 Simple Assault. / 2702 Aggravated Assault. / 4304(a)(1) Endangering Welfare of Children.,"5500 Block Rippey PL Pittsburgh, PA 15206",Garfield,5,1114,9,2,-79.93021873,40.46771013
4406,1980144,17004192,18,F,W,2017-01-07T22:20:00,"400 Block Atwood ST Pittsburgh, PA 15213",3308 One-Way Roadways and Rotary Traffic Islands. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"400 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,406,3,3,-79.95395185,40.43805592
1313,1976102,16174792,24,M,W,2016-09-15T17:45:00,"Salisbury ST & Clover ST Pittsburgh, PA 15210",9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,"Salisbury ST & Clover ST Pittsburgh, PA 15210",South Side Slopes,3,1608,3,4,-79.97113071,40.41863502
2708,1977982,16210141,19,M,B,2016-11-07T14:05:00,"3300 Block Brighton RD Pittsburgh, PA 15212",903 Criminal Conspiracy. / 1501 Drivers Required to be Licensed. / 4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount,"3300 Block Brighton RD Pittsburgh, PA 15212",Brighton Heights,1,2708,1,1,-80.03152303,40.47662892
3318,1978760,16222952,55,M,B,2016-11-28T18:33:00,"Liberty AV & Market ST Pittsburgh, PA 15222",5121 Escape. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"Liberty AV & Market ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.0017944,40.44192378
1428,1976238,16085072,43,M,B,2016-10-07T14:22:00,"8400 Block Granby WY Pittsburgh, PA 15221","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","8400 Block Dersam ST Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87822507,40.45778812
1430,1976240,16112628,22,F,B,2016-10-07T01:30:00,"1600 Block Sandusky CT Pittsburgh, PA 15212",9015 Failure To Appear/Arrest on Attachment Order,"1600 Block Sandusky CT Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00544754,40.45893258
4411,1980149,17005210,13,M,B,2017-01-10T19:20:00,"3100 Block Landis ST Pittsburgh, PA 15204","903 Criminal Conspiracy. / 2706 Terroristic Threats. / 6109 Licenses. / 6110.1 Possesion of Firearm by Minor / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2709(a.1)(1)(ii) Cyber Harassment Of A Child Through An Electronic Social Media Service: Threat To Inflict Harm","3100 Block Landis ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05559692,40.45647359
2710,1977984,16210141,21,M,B,2016-11-07T14:05:00,"3300 Block Brighton RD Pittsburgh, PA 15212",903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount,"3300 Block Brighton RD Pittsburgh, PA 15212",Brighton Heights,1,2708,1,1,-80.03152303,40.47662892
1211,1975994,16162461,19,M,B,2016-09-30T09:55:00,"900 Block 2nd AV Pittsburgh, PA 15219",2706 Terroristic Threats.,"200 Block 42nd ST Pittsburgh, PA 15201",Central Lawrenceville,2,902,7,2,-79.96058268,40.47019119
2711,1977985,16211333,38,M,B,2016-11-09T12:00:00,"4400 Block Liberty AV Pittsburgh, PA 15224",3929 Retail Theft.,"4400 Block Liberty AV Pittsburgh, PA 15224",Bloomfield,5,903,7,2,-79.95263642,40.46363234
1318,1976107,16174899,28,F,B,2016-09-15T21:15:00,"Brighton RD & California AV Pittsburgh, PA 15212",907 Possessing Instruments of Crime. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 5503 Disorderly Conduct.,"Brighton RD & California AV Pittsburgh, PA 15212",Central North Side,1,2503,6,1,-80.01706975,40.45965536
3222,1978643,16222321,44,M,B,2016-11-27T16:20:00,Zone 4,5901 Open Lewdness.,Zone 4,,4,,,,,
1433,1976243,16147440,45,M,B,2016-10-07T11:00:00,Zone 2,4915 Failure to Comply with Megans Law,Zone 2,,2,,,,,
1440,1976250,16173916,29,M,B,2016-10-11T11:55:00,"400 Block N Highland AV Pittsburgh, PA 15206",3701 Robbery.,"400 Block N Highland AV Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.92217164,40.4651578
1441,1976251,16179307,46,M,B,2016-10-08T10:04:00,"900 Block 2nd AV Pittsburgh, PA 15219","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","600 Block Smithfield ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-79.99740551,40.44152525
4414,1980152,17006308,15,F,B,2017-01-11T13:00:00,"600 Block 1ST AV PITTSBURGH, PA 15219",3307 Institutional Vandalism. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.02383854,40.46472734
4693,1980466,17011488,44,M,W,2017-01-19T19:50:00,"2600 Block Norwood AV Pittsburgh, PA 15214",2701 Simple Assault.,"2600 Block Norwood AV Pittsburgh, PA 15214",Perry South,1,2615,6,1,-80.01263459,40.47023932
2714,1977988,16190861,19,F,B,2016-10-09T02:40:00,"1000 Block E Carson ST Pittsburgh, PA 15203",5502 Failure of Disorderly Persons to Disperse  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"1000 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,2,5,-80.02039221,40.44091666
1192,1975975,16174778,51,M,W,2016-09-15T19:00:00,"300 Block Richfield ST Pittsburgh, PA 15234",2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,"300 Block Richfield ST Pittsburgh, PA 15234",Overbrook,3,3207,4,4,-80.00153569,40.3823256
3232,1978653,16218289,27,M,W,2016-11-20T04:15:00,"800 Block Phineas ST Pittsburgh, PA 15212",2701 Simple Assault. / 3304 Criminal Mischief.,"800 Block Phineas ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99705438,40.45487443
1026,1975739,16171040,33,M,W,2016-09-10T13:05:00,"Federal ST N & Montgomery PL Pittsburgh, PA 15212",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"Federal ST & Montgomery PL Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00641785,40.45478596
2330,1977438,16201882,56,M,B,2016-11-08T07:20:00,Zone 2,4915 Failure to Comply with Megans Law,Zone 2,,2,,,,,
1190,1975973,16168440,24,M,W,2016-09-07T00:18:00,"Walbridge ST & Herschel ST Pittsburgh, PA 15220",3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"Walbridge ST & Herschel ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.03735251,40.43788364
2913,1978237,16216701,33,M,B,2016-11-17T20:22:00,"2000 Block Arlington AV Pittsburgh, PA 15210","5104 Resisting Arrest or Other Law Enforcement. / 5126 Flight to Avoid Apprehension, Trial or Punishment.","2000 Block Arlington AV Pittsburgh, PA 15210",Arlington,3,1603,3,4,-79.97826885,40.41778816
2716,1977990,16192621,60,M,W,2016-10-18T02:07:00,"2300 Block Atmore ST Pittsburgh, PA 15212",2702 Aggravated Assault. / 2706 Terroristic Threats. / 4912 Impersonating a Public Servant. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,"Brighton RD & Wadlow ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.03037465,40.47534251
2511,1977660,16204576,23,M,W,2016-10-30T03:00:00,"300 Block North Shore DR Pittsburgh, PA 15212",2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5502 Failure of Disorderly Persons to Disperse  / 5505 Public Drunkenness / 3503(b)(1)(i) Actual Communication,"300 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,1,-80.00964027,40.45494869
4421,1980159,17003535,47,M,B,2017-01-06T17:30:00,"4400 Block Browns Hill RD Pittsburgh, PA 15217",13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,"4400 Block Browns Hill RD Pittsburgh, PA 15217",Greenfield,4,1517,5,3,-79.92703317,40.41949053
4425,1980175,17005907,25,M,B,2017-01-10T20:16:00,"2300 Block East Hills DR Pittsburgh, PA 15221",2706 Terroristic Threats. / 3304 Criminal Mischief. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"2300 Block East Hills DR Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87136146,40.45656464
3239,1978660,16221339,43,F,W,2016-11-25T18:15:00,"4000 Block Haldane ST Pittsburgh, PA 15207","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","4000 Block Haldane ST Pittsburgh, PA 15207",Greenfield,4,1516,5,3,-79.94328155,40.42531897
2342,1977450,16200950,29,M,B,2016-10-29T11:40:00,"1500 Block Brighton RD Pittsburgh, PA 15212",3921 Theft by Unlawful Taking or Disposition.,"500 Block East Ohio ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00057528,40.45353917
4261,1979997,17002781,39,F,B,2017-01-13T03:09:00,"Saw Mill Run BL & Nobles LANE Pittsburgh, PA 15210",2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"700 Block Harker ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.0405668,40.44011786
2713,1977987,16190861,20,F,B,2016-10-09T02:40:00,"1000 Block E Carson ST Pittsburgh, PA 15203",5104 Resisting Arrest or Other Law Enforcement. / 5502 Failure of Disorderly Persons to Disperse  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"1000 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,2,5,-80.02039221,40.44091666
4724,1980497,17002714,29,M,B,2017-01-30T16:40:00,"Hazelwood AV & 2nd AV Pittsburgh, PA 15207",2702 Aggravated Assault. / 3701 Robbery.,"4700 Block Sylvan AV Pittsburgh, PA 15207",Hazelwood,4,1501,5,3,-79.94288354,40.41355487
721,1974584,16146595,22,M,B,2016-08-08T15:20:00,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95688887,40.44042041
935,1975636,16167219,75,M,B,2016-09-05T04:13:00,"S 22nd ST & E Carson ST Pittsburgh, PA 15203",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,"S 22nd ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.97463884,40.42841285
1193,1975976,16174785,41,M,B,2016-09-15T17:40:00,"Fountain ST & Shockoe WY Pittsburgh, PA 15212",9501 Bench Warrant,"Fountain ST & Shockoe WY Pittsburgh, PA 15212",Central Northside,1,2206,6,1,-80.00596813,40.45899251
1194,1975977,15125777,30,F,B,2016-10-01T16:50:00,"2400 Block Berg ST Pittsburgh, PA 15210",903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 13(a)(32) Paraphernalia - Use or Possession,"2400 Block Berg ST Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.97238232,40.41960921
2718,1977992,16199877,,F,B,2016-10-23T01:52:00,"800 Block Madison AV Pittsburgh, PA 15212",5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"800 Block Madison AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99725763,40.45524223
4427,1980177,17005950,45,F,B,2017-01-10T22:00:00,"3500 Block Webster AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","3500 Block Webster AV Pittsburgh, PA 15219",Upper Hill,2,506,6,3,-79.9584163,40.45680196
2857,1978165,16212888,30,M,W,2016-11-11T21:29:00,"300 Block Quincy ST Pittsburgh, PA 15210",1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant,"Amanda AV & Borough ST Pittsburgh, PA 15210",Carrick,3,2902,4,4,-79.98903631,40.40641887
4428,1980178,17005950,48,M,B,2017-01-10T22:00:00,"3500 Block Webster AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","3500 Block Webster AV Pittsburgh, PA 15219",Upper Hill,2,506,6,3,-79.9584163,40.45680196
2720,1977994,16201915,54,M,B,2016-10-26T11:31:00,"S 12th ST & E Carson ST Pittsburgh, PA 15203",2706 Terroristic Threats. / 2709(a) Harassment. / 5503 Disorderly Conduct.,"S 12th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98642219,40.42874965
4435,1980185,17006091,51,F,B,2017-01-11T03:25:00,"2400 Block Middletown RD Pittsburgh, PA 15205",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"2400 Block Middletown RD Pittsburgh, PA 15205",Crafton Heights,6,2814,2,5,-80.05536082,40.44399081
1442,1976252,16180508,36,M,W,2016-10-07T19:00:00,"900 Block 2ND AV Pittsburgh, PA 15219",3921(a) Theft by Unlawful Taking or Disposition - Movable item,"4900 Block 2nd AV Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.9440557,40.40990781
940,1975641,16165531,51,F,A,2016-09-14T19:00:00,"2500 Block Library RD Pittsburgh, PA 15234",903 Criminal Conspiracy. / 5902(a)(1) Prostitution ,"1200 Block Western AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.02196514,40.45120975
4311,1980047,17001508,69,M,B,2017-01-03T14:05:00,"6800 Block Hamilton AV Pittsburgh, PA 15208",3802(a)(1) DUI - General Impairment,"6800 Block Hamilton AV Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.90664943,40.45664597
1225,1976008,16171594,33,M,B,2016-09-11T02:59:00,"S Millvale AV & Penn AV Pittsburgh, PA 15224",1543 Driving While Operating Privilege is Suspended or Revoked. / 3112 Traffic-Control Signals. / 3802(a)(1) DUI - General Impairment,"Penn AV & S Mathilda ST Pittsburgh, PA 15224",Bloomfield,5,809,7,2,-79.94644665,40.46546645
3417,1978922,16225851,24,F,W,2016-12-03T05:20:00,"West End BRDG Pittsburgh, PA 15233",3802(a)(1) DUI - General Impairment,"West End BRDG Pittsburgh, PA 15233",Manchester,1,2107,,,0,0
1450,1976260,16179896,30,F,B,2016-09-23T02:43:00,"1600 Block Lowrie ST Pittsburgh, PA 15212",3323 Stop Signs and Yield Signs. / 4303 General Lighting Requirements. / 9501 Bench Warrant / 3802(a)(1) DUI - General Impairment,"1600 Block Lowrie ST Pittsburgh, PA 15212",Troy Hill,1,2406,1,1,-79.98355886,40.46274332
1451,1976275,16181009,38,M,W,2016-09-24T17:20:00,"2800 Block Mary ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,"2800 Block Mary ST Pittsburgh, PA 15203",South Side Slopes,3,1608,3,4,-79.96837389,40.42421558
1452,1976276,16181015,22,M,B,2016-10-04T20:55:00,"900 Block SECOND AV Pittsburgh, PA 15219",2702 Aggravated Assault. / 3701 Robbery.,"200 Block Dinwiddie ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98046032,40.43913488
4437,1980187,17007100,29,M,W,2017-01-17T18:51:00,"600 Block 1st AV Pittsburgh, PA 15219",2706 Terroristic Threats.,"2500 Block Library RD Pittsburgh, PA 15234",Overbrook,3,3207,4,4,-79.99611824,40.38224159
4438,1980188,17000189,26,M,W,2017-01-05T00:01:00,"600 Block First AV Pittsburgh, PA 15219","2709(a)(4) Harassment Communicates Prohibited Acts / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","20 Block Bailey AV Pittsburgh, PA 15211",Mount Washington,3,1807,3,4,-80.00446134,40.42704913
4443,1980193,17009334,14,M,B,2017-01-16T01:30:00,"Durango WY & Hamilton AV Pittsburgh, PA 15221",2705 Recklessy Endangering Another Person. / 1501 Drivers Required to be Licensed. / 3736 Reckless Driving / 3742 Accidents Involving Death or Personal Injury / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,"Durango WY & Hamilton AV Pittsburgh, PA 15221",Homewood South,5,1304,9,2,-79.88975773,40.45284665
4716,1980489,16186949,24,F,B,2017-01-29T02:55:00,"900 Block 2ND AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,"5300 Block Penn AV Pittsburgh, PA 15224",Garfield,5,1017,7,2,-79.93844245,40.46437508
1336,1976127,16176533,38,M,U,2016-09-22T19:51:00,"600 Block 1st AV Pittsburgh, PA 15219",5503 Disorderly Conduct. / 5506 Loitering and Prowling at Night / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"2100 Block Rose ST Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.97667787,40.4439198
2354,1977479,16201697,49,M,B,2016-10-26T02:26:00,"5000 Block Glenwood AV Pittsburgh, PA 15207",2701 Simple Assault.,"5000 Block Glenwood AV Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.940323,40.4092963
1042,1975759,16146529,27,M,W,2016-09-27T19:15:00,"2800 Block Jane ST Pittsburgh, PA 15203",2702 Aggravated Assault.,"100 Block Pius ST Pittsburgh, PA 15203",South Side Slopes,3,1706,3,4,-79.98114281,40.42432527
2629,1977875,16206718,21,F,B,2016-11-02T11:27:00,"1500 Block Bedford AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 3304 Criminal Mischief. / 3502 Burglary.,"700 Block Mercer ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98729152,40.44442876
3707,1979278,15204846,21,M,W,2015-11-04T19:45:00,"600 Block 1st AV Pittsburgh, PA 15219",6310.1 Selling Liquor to Minors / 601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A),"3800 Block Bates ST Pittsburgh, PA 15213",Central Oakland,4,406,3,3,-79.95334729,40.43860129
4033,1979684,16240522,52,M,W,2016-12-28T09:28:00,"4600 Block Hatfield ST Pittsburgh, PA 15201",13(a)(32) Paraphernalia - Use or Possession,"4600 Block Hatfield ST Pittsburgh, PA 15201",Central Lawrenceville,2,901,7,2,-79.9612731,40.47459503
1453,1976277,16179420,63,M,W,2016-09-22T12:50:00,"300 Block 6th AV Pittsburgh, PA 15222",5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503(b)(1)(i) Actual Communication,"300 Block 6th AV Pittsburgh, PA 15222",Central Business District,2,201,6,6,-79.99945175,40.44165074
2721,1977995,16204269,28,M,B,2016-10-29T20:00:00,"Washington BL & Highland DR Pittsburgh, PA 15206",2702 Aggravated Assault. / 5101 Obstructing Admin. of Law  / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4581 Restraint Systems.,"Washington BL & Highland DR Pittsburgh, PA 15206",Highland Park,5,1106,9,2,-79.90827519,40.47421619
1455,1976279,16181074,39,M,B,2016-09-28T13:45:00,"600 Block 1st AV Pittsburgh, PA 15219",3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"900 Block Brookline BL Pittsburgh, PA 15226",Brookline,6,1918,4,4,-80.01918649,40.39287148
3246,1978667,16221437,56,M,B,2016-11-25T21:55:00,"7300 Block Hamilton AV Pittsburgh, PA 15208",2701 Simple Assault. / 2711 Domestic Violence,"7300 Block Hamilton AV Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.89564429,40.45401652
4445,1980195,17012358,17,M,B,2017-01-20T20:35:00,"1700 Block Stratmore ST Pittsburgh, PA 15205",3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,"1700 Block Stratmore ST Pittsburgh, PA 15205",Crafton Heights,6,2815,2,5,-80.05698971,40.44199727
4581,1980345,16228286,29,F,W,2017-01-25T09:15:00,Zone 2,4106 Access Device Fraud,Zone 5,,5,,,,,
1457,1976281,16181102,21,M,W,2016-09-24T20:30:00,"3900 Block 5th AV Pittsburgh, PA 15213",3309 Driving on Roadways Laned for Traffic. / 3742 Accidents Involving Death or Personal Injury / 3802(a)(1) DUI - General Impairment / 3802(d)(2) DUI - Drug - Impaired Ability,"3900 Block 5th AV Pittsburgh, PA 15213",North Oakland,4,403,3,3,-79.95736201,40.44249287
3247,1978668,16222615,54,M,B,2016-11-28T06:55:00,"3500 Block Forbes AV Pittsburgh, PA 15213",9501 Bench Warrant,"3500 Block Forbes AV Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95832055,40.44008647
1200,1975983,16098311,30,F,B,2016-09-30T11:15:00,"600 Block 1st AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property.,"1800 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00680515,40.46189696
2251,1977343,16200503,28,F,B,2016-10-24T02:30:00,"8300 Block Vidette ST Pittsburgh, PA 15221",2701 Simple Assault.,"8300 Block Vidette ST Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87840405,40.45414728
4313,1980049,17001549,27,M,W,2017-01-03T15:00:00,"100 Block Rhine PL Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"100 Block Rhine PL Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99409859,40.4667862
4447,1980197,17012544,17,M,B,2017-01-21T02:30:00,"1100 Block Banksville RD Pittsburgh, PA 15216","6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm","1100 Block Banksville RD Pittsburgh, PA 15216",Banksville,6,2023,2,5,-80.03026807,40.41991044
4449,1980199,16178441,35,F,W,2017-01-23T03:30:00,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"Federal ST & Henderson ST Pittsburgh, PA 15212",Central North Side,1,2206,6,1,-80.00776455,40.45885515
